AoA,Cl,Cd,CDp,Cm,Xtr_top,Xtr_bot,ClCd
-5.0,1.0999,0.10755,0.09933,-0.1573,0.4891,0.3489,10.226871222687123
-4.5,1.033,0.09873,0.09045,-0.1515,0.4855,0.3473,10.462878557682568
-4.0,1.0842,0.09892,0.0906,-0.1526,0.4784,0.35,10.960372017792157
-3.5,1.0965,0.09615,0.08769,-0.1521,0.4728,0.3557,11.40405616224649
-3.0,1.0515,0.091,0.08265,-0.1454,0.4688,0.3639,11.554945054945057
-2.5,1.0817,0.09151,0.08325,-0.1434,0.462,0.3672,11.82056605835428
-2.0,1.0072,0.08422,0.07592,-0.1345,0.4588,0.3799,11.959154595108052
-1.5,1.0684,0.08473,0.07626,-0.1375,0.4526,0.3826,12.609465360557063
-1.0,0.9623,0.07766,0.0693,-0.1235,0.4501,0.3977,12.391192377028071
-0.5,0.9237,0.07965,0.07157,-0.1093,0.4446,0.4004,11.5969868173258
0.0,0.7441,0.07068,0.0627,-0.0861,0.4427,0.4205,10.52773061686474
1.0,-0.219,0.04635,0.03782,0.0425,0.4426,0.464,-4.724919093851132
1.5,-0.3203,0.04712,0.03848,0.0633,0.4369,0.4689,-6.797538200339558
2.0,-0.3254,0.04543,0.0365,0.0726,0.4336,0.4752,-7.162667840633943
