AoA,Cl,Cd,CDp,Cm,Xtr_top,Xtr_bot,ClCd
-5.0,0.1868,0.07422,0.07169,-0.0941,0.8648,0.0244,2.5168418216114254
-4.5,0.2595,0.06372,0.06097,-0.1162,0.8203,0.0264,4.072504708097929
-4.0,0.3459,0.05724,0.05376,-0.129,0.7012,0.0279,6.0429769392033545
-3.5,0.3553,0.05406,0.05014,-0.128,0.6178,0.0295,6.572327044025157
-3.0,0.3906,0.04798,0.0438,-0.1363,0.5719,0.0315,8.140892038349312
-2.5,0.4765,0.03947,0.035,-0.1572,0.5389,0.0363,12.072460096275652
-2.0,0.8234,0.01887,0.01225,-0.2422,0.4997,0.0446,43.63540010598834
-1.5,0.8817,0.01909,0.01249,-0.2439,0.4809,0.0779,46.18648507071766
-1.0,1.0261,0.01528,0.00729,-0.2607,0.4624,0.0389,67.15314136125654
-0.5,1.0999,0.01528,0.00709,-0.2642,0.4488,0.0465,71.98298429319372
0.0,1.1826,0.015,0.00715,-0.2699,0.4376,0.2231,78.84
0.5,1.2398,0.01554,0.00754,-0.2698,0.4279,0.2771,79.78120978120978
1.0,1.2958,0.0159,0.00793,-0.2694,0.4199,0.3197,81.49685534591195
1.5,1.3547,0.01639,0.00832,-0.2697,0.4124,0.3475,82.65405735204394
2.0,1.4138,0.01678,0.00873,-0.2701,0.4057,0.3771,84.25506555423122
2.5,1.4721,0.01716,0.0092,-0.2703,0.3995,0.4212,85.78671328671328
3.0,1.5334,0.01771,0.00979,-0.2713,0.3936,0.4918,86.58385093167702
3.5,1.5946,0.0182,0.0105,-0.2722,0.3882,0.5962,87.61538461538461
4.0,1.6519,0.01857,0.01122,-0.2722,0.3829,0.7708,88.9553042541734
5.0,1.7533,0.01968,0.0123,-0.2696,0.3729,1.0,89.09044715447155
5.5,1.8009,0.02023,0.01294,-0.2677,0.3687,1.0,89.02125556104794
6.0,1.8492,0.02085,0.01361,-0.2659,0.3635,1.0,88.69064748201438
6.5,1.8987,0.02156,0.01428,-0.2646,0.3581,1.0,88.06586270871986
7.0,1.9489,0.02239,0.01517,-0.2634,0.3527,1.0,87.04332291201429
7.5,1.989,0.02305,0.01595,-0.2601,0.3468,1.0,86.29067245119306
8.0,2.0325,0.02381,0.01675,-0.2576,0.3413,1.0,85.36329273414532
8.5,2.0769,0.02476,0.01777,-0.2554,0.3352,1.0,83.88126009693053
9.0,2.1096,0.02557,0.01876,-0.2508,0.3285,1.0,82.50293312475557
9.5,2.1475,0.02655,0.01974,-0.2475,0.3213,1.0,80.88512241054613
10.0,2.174,0.0276,0.02104,-0.242,0.3135,1.0,78.76811594202898
10.5,2.2029,0.02876,0.02229,-0.2371,0.3057,1.0,76.59596662030599
11.0,2.231,0.03012,0.02387,-0.2324,0.298,1.0,74.07038512616201
11.5,2.2556,0.03162,0.02551,-0.2273,0.2894,1.0,71.33459835547121
12.0,2.2798,0.03332,0.02746,-0.2224,0.28,1.0,68.42136854741896
12.5,2.2985,0.03544,0.02972,-0.217,0.2695,1.0,64.85609480812641
13.0,2.3129,0.03805,0.03248,-0.2115,0.2562,1.0,60.78580814717477
13.5,2.3233,0.04128,0.03587,-0.2061,0.2411,1.0,56.28149224806202
14.0,2.327,0.04546,0.0402,-0.2007,0.2236,1.0,51.187857457105146
14.5,2.3188,0.05126,0.04611,-0.1953,0.2042,1.0,45.23605150214592
15.0,2.2961,0.05939,0.05434,-0.1906,0.1864,1.0,38.661390806533085
15.5,2.2639,0.0698,0.06491,-0.1877,0.1702,1.0,32.43409742120344
16.0,2.2214,0.08293,0.07825,-0.1871,0.1561,1.0,26.7864464005788
16.5,2.171,0.0983,0.09383,-0.1889,0.1443,1.0,22.085452695829094
17.0,2.1221,0.11387,0.1096,-0.1922,0.1331,1.0,18.636164046719944
17.5,2.0862,0.12743,0.12332,-0.196,0.123,1.0,16.371341128462685
18.0,2.0576,0.13977,0.1358,-0.2002,0.1132,1.0,14.72132789582886
18.5,2.0365,0.15078,0.14689,-0.2046,0.1047,1.0,13.506433213954107
19.0,2.0211,0.16067,0.15678,-0.209,0.097,1.0,12.579199601668016
19.5,2.0167,0.16867,0.16495,-0.2127,0.0908,1.0,11.956483073457049
20.0,2.0144,0.17587,0.17216,-0.2162,0.0852,1.0,11.45391482344914
